rank,rating_numeric,num_played,player_id,summoner_region,riot_id,puuid,rating,live.encryption_key,live.game_start_time,live.match_id,live.player_id,live.type,stats.RecentResult.ItemData.AD,stats.RecentResult.ItemData.AP,stats.RecentResult.ItemData.Tank,stats.RecentResult.avg_similarity,stats.RecentResult.board_strength_percentile_sum,stats.RecentResult.damage_percentile_sum,stats.RecentResult.lpChange,stats.RecentResult.num_played,stats.RecentResult.percentile_count,stats.RecentResult.place_sum,stats.RecentResult.topCarries,stats.RecentResult.wins,stats.appMatches,stats.currentPatchResult.ItemData.AD,stats.currentPatchResult.ItemData.AP,stats.currentPatchResult.ItemData.Tank,stats.currentPatchResult.avg_similarity,stats.currentPatchResult.board_strength_percentile_sum,stats.currentPatchResult.damage_percentile_sum,stats.currentPatchResult.lpChange,stats.currentPatchResult.num_played,stats.currentPatchResult.percentile_count,stats.currentPatchResult.place_sum,stats.currentPatchResult.topCarries,stats.currentPatchResult.wins,stats.num_played,stats.place_sum,stats.wins
603,3980,903,216297400,vn2,3Tne#4126,BBQM9gTNOnFELzPS4E_X5Hi8iJF_yPgB_U5QEzLdLGqeBHeu63JHp8Xh-Qvo5c2t6dXMlh8qtDWtww,CHALLENGER I 1180 LP,,,,,,98,47,97,0.1955,1059,857,259,20,20,71,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 9, ""avg"": 3.6}]",3,False,38,15,35,0.2926,468,350,102,7,7,23,"[{""character_id"": ""TFT15_Braum"", ""count"": 3, ""avg"": 3.75}, {""character_id"": ""TFT15_LeeSin"", ""count"": 3, ""avg"": 3.75}]",1,903,3929,130
604,3979,1272,168368088,kr,어케하지진짜#KR1,X5Q1SsU78VtkDVXv54fcfHo3Qf_EB563Xcb6LG8kZyVLARFpqAAg0IbwrPBsuwxNM87HXtvvMgNR6Q,CHALLENGER I 1179 LP,HZrp6tsyVcLsrvBcJsWjo6iadZvADOqF,1762357261279,KR_7900121260,168368088,leaderboard,83,65,109,0.1933,1260,1203,-111,20,20,90,"[{""character_id"": ""TFT15_KSante"", ""count"": 12, ""avg"": 4.733333333333333}]",3,True,,,,,,,,,,,,,1272,5459,212
605,3979,385,106379,kr,롤체6재밌다며#KR1,wRAbNKABQ6JQZ_ZPmZIHu1CQFuQvKwS3sWpPJS0tWtrLuE6t7KFsEX9QR_ctl6cR2cC06jftEB2Uhw,CHALLENGER I 1179 LP,,,,,,89,58,100,0.1386,1141,1278,-5,20,20,83,[],1,True,38,11,29,0.2269,370,443,25,7,7,28,[],1,385,1599,54
606,3979,878,138102891,vn2,CCspotlight#5518,Y5My904IaDmj85MjiFDNRBIfoH3rXGRSqmCLKkwtglhelIbuLH4lMkHcNDBXm5QEXsAJ_BKYwUq2bg,CHALLENGER I 1179 LP,,,,,,75,58,82,0.3551,1193,957,139,20,20,79,"[{""character_id"": ""TFT15_TwistedFate"", ""count"": 9, ""avg"": 3.4444444444444446}, {""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 3.2}]",3,False,,,,,,,,,,,,,878,3751,123
607,3979,247,1555117,tr1,FurkanLothbrok#mad,2y0yzY_WBKY3dUNn3pADgje1g-jCXM6o8IjUrRFQyKb-SAVRvmewXStnaiFnPJlzno_TZFAJKVDTOQ,CHALLENGER I 1179 LP,,,,,,78,55,112,0.3076,740,895,-116,20,20,82,[],3,False,,,,,,,,,,,,,247,884,46
608,3979,765,143169740,vn2,Bình Chữa Cháy#2204,kWyTNykh_rzcqGvIfEv71n4oNeoOz82rNbFiAJNv9tuM-VgakGe8_AQHHvrF9hvvstltT1s0QazZIg,CHALLENGER I 1179 LP,,,,,,105,53,99,0.1991,896,676,-4,20,20,83,"[{""character_id"": ""TFT15_Braum"", ""count"": 9, ""avg"": 3.5}, {""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 3.2222222222222223}]",5,False,,,,,,,,,,,,,765,3291,100
609,3979,294,4502343,kr,추워요#KR2,HsbW9Fh9jp2Ezy-JJ5ovfA-setPvovER2UcgU0g-WJYS48_0FqJqFta7AfEr4lYssWwnvoJZQaSQgQ,CHALLENGER I 1179 LP,,,,,,48,93,119,0.2657,905,1083,209,20,20,73,"[{""character_id"": ""TFT15_Leona"", ""count"": 10, ""avg"": 3.6666666666666665}]",3,True,,,,,,,,,,,,,294,1178,29
610,3978,997,226980434,kr,난 슬플때 풀캠을 돌아#매일매일,1xeQ6FP9EjG_owp1-7Qd6tNDHMhhOEPKiRkDNojWS4h9Gx3CjGFCDzt6emkW2BBr5HCrt8fMKhDQdw,CHALLENGER I 1178 LP,,,,,,65,62,101,0.1614,1053,978,-9,20,20,84,[],4,False,,,,,,,,,,,,,997,4315,146
611,3978,282,349664,kr,J Y#2002,h-SJBu06lT4Wp4cvR4DZYULHGNiEY6r1aEsOS_aAIiym3jdK-gBQJpgJSYmeWqOhfg40W53hQqRmYQ,CHALLENGER I 1178 LP,gYVoMooJwu37wXEnTmCl+8ookmV66XSU,1762357759007,KR_7900125777,349664,leaderboard,73,68,110,0.278,1031,753,-291,20,20,99,[],1,True,,,,,,,,,,,,,282,1086,59
612,3977,174,270004,kr,강한주성#KR1,5UMWagze2uGNKY35RIXqe4E20Pfb7ncjrtk8kGSugiQUaaTF91qpgdrbqWOHjOUcSV9EglP5GCepXw,CHALLENGER I 1177 LP,,,,,,68,74,120,,924,894,211,20,20,73,[],0,True,,,,,,,,,,,,,174,640,28
