rank,rating_numeric,num_played,player_id,summoner_region,riot_id,puuid,rating,live.encryption_key,live.game_start_time,live.match_id,live.player_id,live.type,stats.RecentResult.ItemData.AD,stats.RecentResult.ItemData.AP,stats.RecentResult.ItemData.Tank,stats.RecentResult.avg_similarity,stats.RecentResult.board_strength_percentile_sum,stats.RecentResult.damage_percentile_sum,stats.RecentResult.lpChange,stats.RecentResult.num_played,stats.RecentResult.percentile_count,stats.RecentResult.place_sum,stats.RecentResult.topCarries,stats.RecentResult.wins,stats.appMatches,stats.currentPatchResult.ItemData.AD,stats.currentPatchResult.ItemData.AP,stats.currentPatchResult.ItemData.Tank,stats.currentPatchResult.avg_similarity,stats.currentPatchResult.board_strength_percentile_sum,stats.currentPatchResult.damage_percentile_sum,stats.currentPatchResult.lpChange,stats.currentPatchResult.num_played,stats.currentPatchResult.percentile_count,stats.currentPatchResult.place_sum,stats.currentPatchResult.topCarries,stats.currentPatchResult.wins,stats.num_played,stats.place_sum,stats.wins
1,4872,561,353582905,me1,منجة#بحبك,SBM-65J8LDsup6NqXNrraEppoDoHt_QkPlA2qicbM_wQhTS6nb3SOqeww1hClScAkK0M-MzjtCurgw,CHALLENGER I 2072 LP,,,,,,72,69,111,0.2693,953,1235,307,20,20,47,[],8,False,83,70,119,0.3038,1079,1339,280,22,22,55,[],9,561,1983,109
2,4871,477,3941714,br1,KBM Toddy#tft,nx9yc2rDqX_Rc7xwa7hJXeLZSQ5vCK6xMo9E8jDA9KQN1G8mD3hC0D-_yCPJ2SHrHMVBjbDmF0xiNQ,CHALLENGER I 2071 LP,,,,,,69,66,103,0.2727,1198,968,47,20,20,58,"[{""character_id"": ""TFT15_Braum"", ""count"": 9, ""avg"": 2.25}]",6,False,,,,,,,,,,,,,477,1576,120
3,4737,507,1696341,eun1,Litiq#EUNE,h-oGE9-A_UbLbAn4r2Mhw0RST6V2otlLfuMihFFRXsyEOakmhYsYt2izQ5vpjdVFge8qU5ChG3aNxA,CHALLENGER I 1937 LP,,,,,,72,74,88,0.2357,962,746,81,20,20,59,"[{""character_id"": ""TFT15_Malzahar"", ""count"": 8, ""avg"": 2.625}]",2,False,7,3,0,0,60,3,10,1,1,4,"[{""character_id"": ""TFT15_Samira"", ""count"": 1, ""avg"": 4}, {""character_id"": ""TFT15_Braum"", ""count"": 1, ""avg"": 4}]",0,506,1732,119
4,4735,477,450383412,sg2,FuuTime#xdd,dfFZTGk0bBYppTBlPNMvwrfsLwpsJF9vgl53-jjWxG4Kjm3314SLjV8JOWmTlVqmfvRiEfzGolICEA,CHALLENGER I 1935 LP,,,,,,89,66,109,0.2383,923,954,328,20,20,50,[],7,False,34,27,40,0.0853,454,290,83,8,8,22,[],2,477,1711,121
5,4670,688,3322631,la2,BlackSheep#Rap,NiJyBETk-4MDyXRA7qWaK-mPTVeAIdEOQkHr8nH7ywb__mkbEBjQvOGGACbkZVyBr_Egf_hXysAWXQ,CHALLENGER I 1870 LP,,,,,,57,104,114,0.1436,1048,1214,-119,20,20,69,[],4,False,,,,,,,,,,,,,687,2206,211
6,4665,259,349079186,na1,Flancy#1113,muexjN3KUdTuJ0eziJxAhYfDY2nyY0QnuOkDd6AtXuqPl-U0rwnTdqEbpbFTbp99eC5WXVJ25HaOjA,CHALLENGER I 1865 LP,,,,,,92,72,111,0.1184,919,1183,217,20,20,52,[],8,False,9,3,4,0,25,9,12,1,1,2,"[{""character_id"": ""TFT15_Samira"", ""count"": 1, ""avg"": 2}, {""character_id"": ""TFT15_Sett"", ""count"": 1, ""avg"": 2}]",0,259,855,74
7,4648,649,4620530,euw1,whyyoumadpro#EUW,D-MWvv-Cdd0OVNZipZsupGTSfK4RCMJa501zh6_Ost6eGGbipNAntNT7LoAj7JEErIGvZNDwt2rAig,CHALLENGER I 1848 LP,,,,,,62,95,112,0.1895,789,1126,-23,20,20,66,[],4,True,17,7,16,0.1111,133,136,-62,3,3,13,"[{""character_id"": ""TFT15_Braum"", ""count"": 2, ""avg"": 3}]",0,649,2505,120
8,4643,904,137932991,tw2,白龍1#1一1,WOjuDF9dpKYLu5SS8nRooHqPzihSI8efsM6JQFMAp5CKhReRXIWXTtWJNzIWS711XB2NZh1RsQQXgA,CHALLENGER I 1843 LP,,,,,,92,66,113,0.2504,872,812,312,20,20,48,"[{""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 2.7142857142857144}]",6,False,,,,,,,,,,,,,904,3291,190
9,4642,510,139847899,vn2,Plant the seed#6925,f_bBAIjBvrPdwS034x7DnH-9tG6XKnn3V_MQYEZ3_4dnWMVNW1fX09GeMYFlhENs88WT2TPPY_nZsQ,CHALLENGER I 1842 LP,,,,,,78,81,112,0.1765,972,1068,245,20,20,48,"[{""character_id"": ""TFT15_KSante"", ""count"": 8, ""avg"": 2.5555555555555554}]",9,False,4,6,6,0,38,0,19,1,1,2,"[{""character_id"": ""TFT15_Kayle"", ""count"": 1, ""avg"": 2}, {""character_id"": ""TFT15_Sett"", ""count"": 1, ""avg"": 2}]",0,510,1850,127
10,4630,360,4333101,eun1,Lunatic#kilah,rtHYSAvYtIoROFyvfh-XxQsmqG1wcro6hmfBA69ILnrk-lxIv1BAhmrA0-0A2cQ1gQWu8TAVihrS3w,CHALLENGER I 1830 LP,,,,,,69,67,117,0.235,1026,945,155,20,20,60,[],6,True,,,,,,,,,,,,,360,1305,93
11,4616,707,306533682,la1,Light Yagami#LAN1,3X2Pd1U7REnH2nP_xVRnXNlaO9Tc1g0Qn66ZiypYeUY-7EafvlneSzPQSBkbmNuunIoPs6Rt4TKl-g,CHALLENGER I 1816 LP,,,,,,69,88,118,0.1033,819,1246,285,20,20,51,"[{""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 2.2222222222222223}]",7,False,,,,,,,,,,,,,707,2485,170
12,4597,533,137987856,vn2,play4puppy2fast#zoo,r3RUp-RqLprPHMA-39jhwZisWUKmeU1U3hMvt2aN9TEwSHuzjJE6xtdEJ_Aou-RdMu9-sBwJBblW_w,CHALLENGER I 1797 LP,,,,,,86,80,118,0.1726,1040,854,-18,20,20,62,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 2.5}, {""character_id"": ""TFT15_Zyra"", ""count"": 8, ""avg"": 3.4444444444444446}]",6,False,16,20,31,0.1146,282,226,-33,5,5,16,"[{""character_id"": ""TFT15_Zyra"", ""count"": 3, ""avg"": 2.6666666666666665}, {""character_id"": ""TFT15_Sett"", ""count"": 2, ""avg"": 1}]",3,533,2023,109
13,4593,359,269168880,na1,11lumin#1111,8I90duCA0HCtA-osC9t6T_hkJQ4CRzcMXU_WxHyR7pR1NbNKEGw4IKltZXqSMFQJI6PycO2VRYl3Rg,CHALLENGER I 1793 LP,,,,,,67,84,127,0.2226,1026,1132,73,20,20,62,"[{""character_id"": ""TFT15_JarvanIV"", ""count"": 9, ""avg"": 3.2}]",6,False,,,,,,,,,,,,,359,1278,86
14,4565,1203,275134,kr,고려헬스클럽#KR1,CwGfNZE1tjxXc1kFwdyTrk23r-LvNdUgbJ5lzFeaSL3912SuXvWk4eURmNE4Km0c0rUphV9i2Hap1g,CHALLENGER I 1765 LP,,,,,,90,69,107,0.2015,990,918,79,20,20,59,"[{""character_id"": ""TFT15_TwistedFate"", ""count"": 9, ""avg"": 3.4444444444444446}, {""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 3.2}]",6,True,,,,,,,,,,,,,1202,4471,283
15,4564,652,450367236,sg2,teennn#TH22,QRCWXY2ELawOJo32tz9tnzRJkKmLSedaRP0B06xNU-A8xAAqu7aIGLx062pG3eoIj-ODDnDkjvVNRA,CHALLENGER I 1764 LP,,,,,,64,83,147,0.4497,638,1040,169,20,20,57,[],5,False,6,4,4,0,64,6,18,1,1,2,"[{""character_id"": ""TFT15_Yasuo"", ""count"": 1, ""avg"": 2}, {""character_id"": ""TFT15_Leona"", ""count"": 1, ""avg"": 2}]",0,652,2654,105
16,4532,973,200728088,jp1,ポッチャマ#Real,9aZ_X5rCJ33scHoq7H3sM8r_4mtlZ5NRRvfwiRuoZUMOrymaactqkVTyLm7Kx7m9sx-a95WIEwXP7A,CHALLENGER I 1732 LP,,,,,,109,90,100,0.3933,1199,1422,276,20,20,56,"[{""character_id"": ""TFT15_Braum"", ""count"": 15, ""avg"": 2.933333333333333}, {""character_id"": ""TFT15_Zyra"", ""count"": 12, ""avg"": 2.642857142857143}]",7,True,9,20,21,0.037,253,176,25,4,4,13,"[{""character_id"": ""TFT15_Neeko"", ""count"": 2, ""avg"": 2}, {""character_id"": ""TFT15_Braum"", ""count"": 2, ""avg"": 4.5}]",0,973,3951,154
17,4505,385,4336243,jp1,たろうのTFT大学#ゆにば,-VQ7ED7zfJcPMrhdUuNdevv_iK0r0sUH-YEOUjMEhiqmjgbPvnQgqad7-HlaGGns0ommx-qepO6dNg,CHALLENGER I 1705 LP,,,,,,87,73,104,0.2044,1126,985,161,20,20,56,"[{""character_id"": ""TFT15_TwistedFate"", ""count"": 9, ""avg"": 1.6666666666666667}]",7,False,10,14,18,0.05,163,156,19,3,3,8,[],2,385,1305,119
18,4495,509,1918645,la2,Malein#LAS,V4YiHFIN470JC2ccJhA7x49jkbQ4ALVxL4jO6oz_E3_NtYeVA5Zte489mnihifxHSX-NtkYHHQTVfg,CHALLENGER I 1695 LP,,,,,,93,67,110,0.1533,787,934,129,20,20,64,[],2,False,,,,,,,,,,,,,509,1888,81
19,4494,911,807815,la1,Lukwer#Kat,UKGhfnxu3NdhQWQOnfaNonxWs5Bw3g0s1V13kFbiPyECB2pOtKvyQNTyAc8s0vgaIprgPJCphmPtKw,CHALLENGER I 1694 LP,,,,,,110,59,138,0.5403,1197,1172,116,20,20,63,"[{""character_id"": ""TFT15_KSante"", ""count"": 15, ""avg"": 3.4444444444444446}, {""character_id"": ""TFT15_LeeSin"", ""count"": 13, ""avg"": 2.875}]",6,False,,,,,,,,,,,,,911,3353,199
20,4491,719,1262095,kr,바텀그만죽어제발#KR1,lKk9Jht8mCvUtAvyg0ffmLPVjPTLRg1kfnrORAabakQ86XMcoeXDwgYyYTNvy7CfAVr0NoJr75kJFQ,CHALLENGER I 1691 LP,,,,,,87,71,147,0.9044,432,1380,87,20,20,61,"[{""character_id"": ""TFT15_Karma"", ""count"": 20, ""avg"": 3.05}, {""character_id"": ""TFT15_JarvanIV"", ""count"": 20, ""avg"": 3.05}]",7,True,,,,,,,,,,,,,719,3002,128
21,4482,474,220710709,vn2,VP Milo#EA7,WRNqYzZuUWDGYX1rAZEVObp6V9T9KlZeXxmpPMTjpja2FcwWNaHp6tlUj7lIGtJGNT80EcSQDXYKIQ,CHALLENGER I 1682 LP,,,,,,80,84,94,0.1116,952,846,91,20,20,63,[],7,False,6,9,10,0.5,71,66,-15,2,2,8,"[{""character_id"": ""TFT15_Malzahar"", ""count"": 3, ""avg"": 4.333333333333333}, {""character_id"": ""TFT15_Rammus"", ""count"": 2, ""avg"": 4.333333333333333}]",0,473,1769,110
22,4482,1041,450391780,sg2,FS Foeman#bundd,bEY10z733bljNnCKzOBM51QYpUBi7yj5_yW-8VF0L7-zgbHhLFEVHn8jZbFuUOc_nOM6oB5NXve5uw,CHALLENGER I 1682 LP,,,,,,79,69,105,0.2161,1118,798,-50,20,20,76,[],4,False,15,16,21,0.35,240,94,70,4,4,10,"[{""character_id"": ""TFT15_Sett"", ""count"": 2, ""avg"": 3.5}, {""character_id"": ""TFT15_Braum"", ""count"": 2, ""avg"": 2}]",1,1041,3860,205
23,4481,702,256524990,vn2,D2JP#1129,OXoF7k1O-YAfL2BsIO7ek08XpB_XOIP3qAIf3JiuYI3dKKiAaAzoxah3jPrabplV_fcBhviwjkg0zA,CHALLENGER I 1681 LP,,,,,,92,58,94,0.2572,1068,1061,268,20,20,54,"[{""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 2.3333333333333335}, {""character_id"": ""TFT15_TwistedFate"", ""count"": 8, ""avg"": 2.875}]",7,False,24,23,35,0.1276,275,326,20,6,6,21,[],1,701,2822,123
24,4475,671,349791247,na1,bub#NA2,kysiS2mbgPsaqAnGdjr7OaB1uq5-BqpYIeWt530k4lw7csq_IcAtFy7TCvJd2dSoCg0gl53D5z_4Qw,CHALLENGER I 1675 LP,,,,,,111,61,114,0.3415,1356,1044,159,20,20,55,"[{""character_id"": ""TFT15_Braum"", ""count"": 12, ""avg"": 2.3333333333333335}, {""character_id"": ""TFT15_Zyra"", ""count"": 11, ""avg"": 2.2857142857142856}]",8,False,,,,,,,,,,,,,671,2548,104
25,4475,940,4187614,na1,粪海狂蛆#Reddi,abF3Sa6OdNpyxUUG1qXIfE87KWFIziU9DHcNJLK344g8PAT99udxba4X7AV2AcJtGBZb_oUr7MUf6w,CHALLENGER I 1675 LP,,,,,,60,94,139,0.2395,800,784,152,20,20,60,"[{""character_id"": ""TFT15_KSante"", ""count"": 8, ""avg"": 2.888888888888889}]",5,True,,,,,,,,,,,,,940,3763,167
26,4458,1012,137988733,vn2,Be Nam Ys#vn2,TnkaIIbD5Q9-Yv6zLrI28-Gpy9HJp2sXL73-DwHtFzDedasH4P3l0vwgiZT1iyo08cWfghK7HOOlQg,CHALLENGER I 1658 LP,,,,,,77,102,101,0.2868,1056,1165,451,20,20,49,"[{""character_id"": ""TFT15_Yuumi"", ""count"": 8, ""avg"": 2.375}]",9,True,12,51,40,0.2412,317,484,156,7,7,15,"[{""character_id"": ""TFT15_Ryze"", ""count"": 4, ""avg"": 1.8}, {""character_id"": ""TFT15_Leona"", ""count"": 4, ""avg"": 2.75}]",4,1012,4302,170
27,4456,608,4217302,kr,zxc12345#123,gHWj5qayf9jqxSuWIKNNaUzNnjCpKLBkfcgUzQCNIVBRi0yWvl5R8t5llZizQ-uDG3lSVTlcrD0weQ,CHALLENGER I 1656 LP,,,,,,78,93,102,0.1225,932,1121,-18,20,20,68,[],5,False,3,15,11,0.125,100,72,-60,2,2,10,"[{""character_id"": ""TFT15_Ryze"", ""count"": 2, ""avg"": 5}, {""character_id"": ""TFT15_Rakan"", ""count"": 1, ""avg"": 3}]",0,608,2461,108
28,4450,808,142326286,sg2,Fantasy#1004,BnFLnaiziDuHyjMAaEvLGswVdSg883kRYwCCy9_Pej-Id1WUoFBO2WY_VBVNSm85ep73rRugSxJP3g,CHALLENGER I 1650 LP,,,,,,115,56,149,0.7842,631,1220,107,20,20,56,"[{""character_id"": ""TFT15_Karma"", ""count"": 17, ""avg"": 2.411764705882353}, {""character_id"": ""TFT15_Aatrox"", ""count"": 16, ""avg"": 2.411764705882353}]",8,False,3,5,6,0,40,16,-70,1,1,7,"[{""character_id"": ""TFT15_Lucian"", ""count"": 1, ""avg"": 7}, {""character_id"": ""TFT15_Aatrox"", ""count"": 1, ""avg"": 7}]",0,808,3251,165
29,4450,294,257766802,kr,치킨킹BLT#KR1,jB6wVHdppbDwuGJWus26aKDTN1o90vfBLoR0lIP79z_jvKRpvHYXKxcaS6VYL8pF5ZGmZbYaqb5zGA,CHALLENGER I 1650 LP,,,,,,97,77,109,0.2265,1134,1184,269,20,20,52,[],7,True,6,3,5,0,30,30,22,1,1,2,"[{""character_id"": ""TFT15_Jinx"", ""count"": 1, ""avg"": 2}, {""character_id"": ""TFT15_Poppy"", ""count"": 1, ""avg"": 2}]",0,294,1114,63
30,4442,500,757342,kr,102#2600,PJSxLbpJR_CCqJOV414t5u6xNpC3uMHtU8j-VX4S7Tq2-EBZKmDI3jm2QCP0dlW1Q6iZXHZy9hNZ_A,CHALLENGER I 1642 LP,,,,,,76,69,96,0.1403,1138,1106,48,20,20,62,[],7,True,20,21,28,0.1044,389,296,-185,6,6,30,[],1,500,1874,127
31,4439,321,263846660,jp1,chocotomato#JP1,QUvneY54NiLYNwmYxLfwIhV9e3jraQfRp1Sg0WbA9NVIeMehYrSAJfhmDJrLKAKEA-NZ97r7EILn0Q,CHALLENGER I 1639 LP,,,,,,75,77,120,0.2646,1068,1241,173,20,20,63,[],9,True,12,9,11,0,113,143,45,2,2,5,"[{""character_id"": ""TFT15_Swain"", ""count"": 1, ""avg"": 1}, {""character_id"": ""TFT15_Ashe"", ""count"": 1, ""avg"": 1}]",1,321,1203,74
32,4439,770,213777,na1,wilf#011,ZL-L6MASMzF63JZ1nqdsIcP0ufJ0W1uCZ9SkpBAtqTlPa1C-yyR85Kf8a2cOwFIOT5yZTUZcGk9BuA,CHALLENGER I 1639 LP,,,,,,68,79,115,0.2293,1155,886,87,20,20,64,"[{""character_id"": ""TFT15_KSante"", ""count"": 8, ""avg"": 2.75}]",6,False,,,,,,,,,,,,,770,3049,143
33,4435,793,4445703,kr,띵 땡#KR1,1Si8vmuflVASOawzak2fh7xnjrwhM2YcZYdDgQdDMsOGLSvsQYf9CoPl6qDg9-XWzAU4dvj7Ssu1rQ,CHALLENGER I 1635 LP,,,,,,97,64,108,0.2164,835,1346,131,20,20,67,[],5,False,,,,,,,,,,,,,792,2871,152
34,4430,618,4585883,euw1,estanishing#EUW,mXu9mNVM-_jWyROGkxV3Dilpv6vLdC6IDtxj25wt9QQ_9XTHEa-aVRPXkAK4ziWuuMRe1vFldcRqNw,CHALLENGER I 1630 LP,,,,,,82,80,122,0.3719,1068,921,296,20,20,57,"[{""character_id"": ""TFT15_Braum"", ""count"": 11, ""avg"": 2.6923076923076925}, {""character_id"": ""TFT15_Zyra"", ""count"": 8, ""avg"": 2.1}]",6,False,,,,,,,,,,,,,618,2538,111
35,4429,877,3528497,oc1,oubo#tft,8tnYPhhKzCbjUlLLihcu6Wpq4AUQK4Ch32p3bHNRNZjoZ8dUwaLkZMhplGzcntxPQN6jzvpgIy7-EA,CHALLENGER I 1629 LP,,,,,,87,64,94,0.1933,987,1127,-120,20,20,71,"[{""character_id"": ""TFT15_Braum"", ""count"": 10, ""avg"": 3}]",7,False,,,,,,,,,,,,,877,3129,211
36,4427,290,3678899,la2,FranceB#LAS,jwOr7EI9Xtx52zAn3U4BQYwCLCRQ7fHTJQygYP5qxuR19P4-QwnSSepFHnLseRV8SPIWedb3vrdVjg,CHALLENGER I 1627 LP,,,,,,77,79,138,0.2995,876,1099,118,20,20,58,"[{""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 2.5}]",5,False,,,,,,,,,,,,,290,931,65
37,4426,545,3284812,euw1,TMD BlackZa#ACTMD,gnqe0JikUM4DaaKESFi7j0wmv_ZejUXlDntCAlFabRKFRZu6v6oRGRO5F_WjnwolAvFKmiUcK5vuPQ,CHALLENGER I 1626 LP,,,,,,82,80,121,0.1848,883,940,201,20,20,59,[],4,False,,,,,,,,,,,,,545,2227,97
38,4425,508,576223,kr,Kanata#TFT,Z2fEBbn9v172AxMcJZbC-DeWtXuGQQDPNmfWX3kvfQhAZJEk1uO_6bBz7ma-8UR150Ha7qHehw_UTQ,CHALLENGER I 1625 LP,,,,,,89,58,119,0.2095,858,1102,-60,20,20,72,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 3.3333333333333335}]",6,False,,,,,,,,,,,,,508,1952,99
39,4424,497,3274796,jp1,うに軍#JP1,LLOn4WnxE87fs5Q2EaMYsVUJxEG6xC2nYUKUtOwG0xkQaJjIZMqLW9LLnFyoAe-7RzF07kFW11hPkw,CHALLENGER I 1624 LP,,,,,,95,71,105,0.4663,718,1080,-57,20,20,72,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 10, ""avg"": 3.3333333333333335}, {""character_id"": ""TFT15_Galio"", ""count"": 8, ""avg"": 3.75}]",5,True,6,3,3,0,64,2,-42,1,1,6,"[{""character_id"": ""TFT15_Darius"", ""count"": 1, ""avg"": 6}, {""character_id"": ""TFT15_Malzahar"", ""count"": 1, ""avg"": 6}]",0,497,1713,108
40,4419,710,4287401,kr,마빵왕봉달이#포카칩블루,WL3n7ZB0SVQVcH7p08aRo_9E6Y2bAD8IxBD8-VLSlOoHHIGRFQXnRAL9bV4WkZsF6eFKeCS_97Dwmg,CHALLENGER I 1619 LP,,,,,,89,51,121,0.2165,1009,911,226,20,20,58,"[{""character_id"": ""TFT15_Sett"", ""count"": 8, ""avg"": 3.25}]",5,True,29,18,39,0.1901,391,166,52,7,7,23,"[{""character_id"": ""TFT15_Malzahar"", ""count"": 3, ""avg"": 3}]",0,710,2780,120
41,4408,368,137945234,vn2,TLN YBY1#YBY1,N66Qfc8ldNA9fC_s750BGUcVFP1fkrGiJAATUxLn_Kq9p9329ds9-Z5IDdhEau7LmVPSPb5GQZa0qA,CHALLENGER I 1608 LP,,,,,,115,52,96,0.3839,1310,1047,-65,20,20,67,"[{""character_id"": ""TFT15_Braum"", ""count"": 12, ""avg"": 1.8333333333333333}, {""character_id"": ""TFT15_TwistedFate"", ""count"": 10, ""avg"": 2.2}]",8,False,38,15,27,0.2037,419,381,-71,7,7,25,"[{""character_id"": ""TFT15_Braum"", ""count"": 4, ""avg"": 2.5}]",2,368,1223,121
42,4396,563,4638799,la1,soulblackRD#00594,Ao9dKu6fKtZBKmcnOXMTMQIdmUoop5rl2ZJqcPN5VVib4Cuuuc4ds27P5KwN_aC7WXXxlKw44OmQ-Q,CHALLENGER I 1596 LP,,,,,,95,65,110,0.3094,949,1181,233,20,20,53,"[{""character_id"": ""TFT15_Jinx"", ""count"": 10, ""avg"": 3.1}, {""character_id"": ""TFT15_Poppy"", ""count"": 10, ""avg"": 3.1}]",8,False,,,,,,,,,,,,,563,2195,100
43,4393,329,1381440,euw1,Staig Rövskägg#Baga,9qVr7If0J47KRm7U1XsCaDFebDxy8SZHITdLNhTFGhZDIU3qF1TeP8m_9_pGDgUjbd4x-TiMg4BagQ,CHALLENGER I 1593 LP,,,,,,55,85,119,0.1934,561,963,217,20,20,63,[],4,False,,,,,,,,,,,,,329,1256,57
44,4390,593,137775274,vn2,GD Royal#1704,RXNoPpnu0O9r4PTV9CevIgsByQ6FuQVh2YnA919BGL-bECIN9czUdkG5IDwTflDbipYmW5xmeASD2g,CHALLENGER I 1590 LP,,,,,,77,79,118,0.181,841,974,99,20,20,67,"[{""character_id"": ""TFT15_Braum"", ""count"": 8, ""avg"": 3.1666666666666665}]",4,True,8,13,19,0.1741,165,224,-126,4,4,21,"[{""character_id"": ""TFT15_KSante"", ""count"": 2, ""avg"": 5.75}, {""character_id"": ""TFT15_JarvanIV"", ""count"": 2, ""avg"": 5.666666666666667}]",0,593,2202,127
45,4385,684,138022630,sg2,EggyBuster99#Woach,qkiKhpNh4EILIAoxyOVIANG___nZb_9LkbdOqsag5gxURn6aAniUgFRHvJFmJbzCbSUDAf5jiSbf0A,CHALLENGER I 1585 LP,,,,,,82,66,97,0.2049,981,1078,-59,20,20,70,[],4,False,11,0,6,0,56,172,-52,2,2,11,"[{""character_id"": ""TFT15_Gangplank"", ""count"": 1, ""avg"": 7}, {""character_id"": ""TFT15_Udyr"", ""count"": 1, ""avg"": 7}]",0,684,2589,129
46,4383,649,305943661,jp1,なまたらこ#Roe,KnfEpqJnRawUSnt7ConlegEn3BSmaGcSJWkp-L_ieiiU5oGplGRQD2lJ0-8LBWfvGpl3_tK_FNss7Q,CHALLENGER I 1583 LP,,,,,,91,72,100,0.2593,989,865,145,20,20,66,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 2.3333333333333335}]",4,True,,,,,,,,,,,,,649,2433,154
47,4381,504,138224315,vn2,Dizzyland#zzz,GIz1HJnpuTtXgPOnbkdKhV4zaXkkL-zBs1G_JhP1-iAI4cGKgbCksZrmCZeugrqtWayrqcyxODNwjA,CHALLENGER I 1581 LP,,,,,,92,74,119,0.2468,1079,869,213,20,20,61,"[{""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 3.125}]",4,False,,,,,,,,,,,,,504,2001,104
48,4375,675,3993438,euw1,MKOI Dalesom#EUW2,9F1oVd7LkiuspzVsTkKQOER6l73lTTCZMahQjAzcvs3nTmf4QMKNocV9QDcUb0qZoTE2lzOJBkUptQ,CHALLENGER I 1575 LP,,,,,,53,82,115,0.3208,804,989,-111,20,20,73,[],3,False,,,,,,,,,,,,,675,2554,129
49,4370,359,138801204,vn2,Arriettyyyy#AnK,tMsnGhtpylSkCy3hnPQtVBgvzNzxP4AKZ4iX3kSGk6SWHAbkNQlqWu41t8Qx2xuI4pJSM37IT1Kk4g,CHALLENGER I 1570 LP,,,,,,49,98,133,0.2563,1094,1023,382,20,20,50,[],6,False,18,3,23,0.9,148,151,57,2,2,3,"[{""character_id"": ""TFT15_Vi"", ""count"": 2, ""avg"": 1.5}, {""character_id"": ""TFT15_Swain"", ""count"": 2, ""avg"": 1.5}]",1,358,1369,74
50,4369,499,450391779,sg2,josepao1o#1023,a0AyvVwrryTZF3jb8oiOtjUzeX8NOm05tIn9o0yZZ3oUAR7xBhQFK7J4hfSWegHFS1L0aMHaQgrVjw,CHALLENGER I 1569 LP,,,,,,75,85,106,0.1984,903,1242,-104,20,20,75,[],7,False,28,23,30,0.1976,232,392,153,6,6,11,[],4,499,1846,104
51,4365,1204,4687595,kr,가렌 김뚜헝#6266,KpL20tTD4NIsfFprxtVlw7G0A8FB2LER-DBs0Sa-QLJaWS4Uofdp6aQON37SDJVk55CM6POg5D8sgw,CHALLENGER I 1565 LP,,,,,,88,61,127,0.3732,1178,1222,185,20,20,61,"[{""character_id"": ""TFT15_KSante"", ""count"": 9, ""avg"": 2.6666666666666665}, {""character_id"": ""TFT15_LeeSin"", ""count"": 8, ""avg"": 2.2222222222222223}]",6,False,53,26,78,0.4644,599,593,149,11,11,31,"[{""character_id"": ""TFT15_KSante"", ""count"": 6, ""avg"": 2.375}, {""character_id"": ""TFT15_LeeSin"", ""count"": 5, ""avg"": 2.1666666666666665}]",3,1204,4940,203
52,4361,1349,138468774,vn2,Ri Le#2406,pPJx2SEzEB_U5zapwKJTsBZiXkFOL2ZTci34GUrzw5vFfyvx7rycgCNobnEm_vm6z9qWVHD3QYHquw,CHALLENGER I 1561 LP,,,,,,75,68,101,0.1936,973,970,174,20,20,62,[],5,False,17,25,23,0.0313,194,156,23,5,5,15,"[{""character_id"": ""TFT15_KSante"", ""count"": 2, ""avg"": 1.3333333333333333}, {""character_id"": ""TFT15_JarvanIV"", ""count"": 2, ""avg"": 2}]",2,1349,5639,180
53,4353,415,136759856,na1,br cash#NA2,CyP72yb5oZmmijp5JKaB5JcY4GzWRNwbNKQUbUIpAqSMC-Bbfqczou-kXqZeU142X3q7l4OWop2Z7w,CHALLENGER I 1553 LP,,,,,,54,105,152,0.1976,1041,1109,236,20,20,59,"[{""character_id"": ""TFT15_KSante"", ""count"": 8, ""avg"": 2.6666666666666665}]",7,False,,,,,,,,,,,,,415,1652,75
54,4353,697,215217277,tr1,zheueyte#1605,NbxGk9YpTyHspxLrSQeSupBaR8fHnz6DrACemdwwPQXZIMOH1HGdrJVmxm84g3Uat-DxebCeJagkng,CHALLENGER I 1553 LP,,,,,,39,85,115,0.2553,1188,941,242,20,20,53,"[{""character_id"": ""TFT15_KSante"", ""count"": 10, ""avg"": 2.5}, {""character_id"": ""TFT15_Yuumi"", ""count"": 8, ""avg"": 2.75}]",5,False,,,,,,,,,,,,,697,2792,84
